target_TgtNontgt,target_type,ClutterType,num_rows,num_columns,azimuth,depression,version,configuration,FSImageNumber,Column,Row,NormalizedScore,Mean,Variance,StandardDeviation,RMS,Skewness,Kurtosis,Maximum,TotalIntegral,ZeroValuedPoints,serial_num,filename
1,bmp2_tank,0,128,128,216.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03333.000
1,bmp2_tank,0,128,128,221.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03334.000
1,bmp2_tank,0,128,128,226.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03335.000
1,bmp2_tank,0,128,128,249.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03337.000
1,bmp2_tank,0,128,128,254.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03338.000
1,bmp2_tank,0,128,128,269.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03341.000
1,bmp2_tank,0,128,128,274.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03342.000
1,bmp2_tank,0,128,128,279.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03343.000
1,bmp2_tank,0,128,128,284.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03344.000
1,bmp2_tank,0,128,128,299.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03347.000
1,bmp2_tank,0,128,128,304.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03348.000
1,bmp2_tank,0,128,128,319.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03351.000
1,bmp2_tank,0,128,128,324.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03352.000
1,bmp2_tank,0,128,128,334.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03353.000
1,bmp2_tank,0,128,128,339.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03354.000
1,bmp2_tank,0,128,128,359.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03355.000
1,bmp2_tank,0,128,128,4.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03356.000
1,bmp2_tank,0,128,128,14.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03358.000
1,bmp2_tank,0,128,128,29.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03361.000
1,bmp2_tank,0,128,128,49.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03363.000
1,bmp2_tank,0,128,128,59.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03364.000
1,bmp2_tank,0,128,128,64.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03365.000
1,bmp2_tank,0,128,128,69.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03366.000
1,bmp2_tank,0,128,128,74.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03367.000
1,bmp2_tank,0,128,128,79.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03368.000
1,bmp2_tank,0,128,128,114.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03375.000
1,bmp2_tank,0,128,128,119.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03376.000
1,bmp2_tank,0,128,128,124.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03377.000
1,bmp2_tank,0,128,128,134.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03379.000
1,bmp2_tank,0,128,128,139.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03380.000
1,bmp2_tank,0,128,128,144.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03381.000
1,bmp2_tank,0,128,128,149.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03382.000
1,bmp2_tank,0,128,128,154.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03383.000
1,bmp2_tank,0,128,128,159.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03384.000
1,bmp2_tank,0,128,128,164.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03385.000
1,bmp2_tank,0,128,128,169.492,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,DAA7B02AA/targets/test/15_deg/bmp2/sn_9563/hb03386.000
